longitude,latitude
13.671291,100.492486
13.67138,100.40666
13.672194,100.4055605
13.671603,100.426666
13.671865,100.502907
13.671906,100.42515
13.672386,100.5087
13.672827,100.513473
13.6729665,100.424243
13.673529,100.42405
13.672976,100.421192
13.673647,100.420255
13.673002,100.465337
13.673105,100.518154
13.674063,100.517403
13.6732205,100.505518
13.673424,100.506336
13.673588,100.404203
13.673722,100.505788
13.673754,100.505783
13.674227,100.387839
13.675783,100.385117
13.674533,100.425307
13.674912,100.499682
13.674975,100.471089
13.677486,100.471132
13.675237,100.502531
13.6759365,100.4280015
13.678636,100.429201
13.676003,100.50122
13.676827,100.500637
13.67645,100.338424
13.677665,100.339528
13.676661,100.345323
13.676957,100.346856
13.67763,100.5028065
13.677496,100.484054
13.681755,100.482413
13.677437,100.465382
13.677677,100.412655
13.677685,100.498568
13.67773,100.498626
13.677724,100.432109
13.677998,100.498318
13.678293,100.406963
13.679816,100.406127
13.678277,100.498722
13.678699,100.424471
13.678735,100.514545
13.679211,100.513024
13.67914625,100.498799
13.67901,100.496271
13.679659,100.496512
13.679119,100.497435
13.679349,100.447497
13.682357,100.447969
13.6799655,100.468415
13.680238,100.371911
13.680324,100.503444
13.680736,100.353778
13.683842,100.352842
13.681407,100.4385025
13.682597,100.440241
13.681346,100.506037
13.681346,100.506037
13.681431,100.4929
13.6816455,100.4745475
13.681825,100.492051
13.682469,100.492594
13.681873,100.425209
13.682253,100.42628
13.681958,100.505568
13.682052,100.500008
13.6820935,100.5009785
13.68217,100.502296
13.682528,100.504727
13.682751,100.411422
13.683053,100.411784
13.682808,100.499034
13.683256,100.499056
13.682886,100.414898
13.6835655,100.416138
13.683019,100.487874
13.683026,100.412738
13.683184,100.495648
13.683259,100.4912165
13.68358,100.490708
13.683314,100.464217
13.683486,100.500117
13.683922,100.363887
13.683727,100.498498
13.684125,100.498435
13.684115,100.343324
13.684781,100.343693
13.684167,100.406122
13.684225,100.40625
13.684562,100.4442595
13.684691,100.361018
13.686473,100.361845
13.684819,100.421604
13.685013,100.412445
13.685065,100.498811
13.685175,100.445219
13.6855175,100.4263147
13.685563,100.444607
13.685563,100.444607
13.685903,100.3823875
13.6884305,100.382645
13.685726,100.339799
13.6858165,100.494254
13.685922,100.445695
13.68597,100.445637
13.686435,100.44769
13.686833,100.449674
13.686621,100.48885
13.68675,100.486562
13.686958,100.403068
13.686974,100.484948
13.687006,100.485029
13.686998,100.34327
13.687133,100.376222
13.688101,100.3737325
13.687382,100.483853
13.687407,100.426405
13.687544,100.49236
13.687544,100.49236
13.687557,100.426636
13.6876,100.426613
13.687657,100.441522
13.688454,100.410616
13.688473,100.4077055
13.688666,100.340919
