site_id,latitude,longitude,count
120,13.6617895,100.4044435,2
121,13.661629,100.439248,1
122,13.6618195,100.4421345,2
123,13.661817,100.442224,1
124,13.661962,100.441819,1
125,13.662074,100.444205,1
126,13.66288,100.441156,1
127,13.663195,100.406921,1
128,13.663654,100.407254,1
129,13.663373,100.437881,1
130,13.663695,100.435697,1
131,13.66366,100.502991,1
132,13.664163,100.428463,1
133,13.664611,100.406314,1
134,13.664976,100.446791,1
135,13.66678,100.44539,1
136,13.665184,100.455396,1
137,13.665193,100.392915,1
138,13.665742,100.441601,1
139,13.668233,100.442951,1
140,13.666048,100.480841,1
141,13.668872,100.478362,1
142,13.666376,100.428626,16
143,13.666376,100.428626,4
144,13.666592,100.412512,1
145,13.666899,100.413473,1
146,13.666771,100.426155,1
147,13.666892,100.427828,1
148,13.667292,100.452666,1
149,13.669817,100.450414,1
150,13.667463,100.40356,1
151,13.66761,100.414451,1
152,13.668036,100.414203,1
153,13.667759,100.406951,1
154,13.668211,100.405356,1
155,13.668066,100.447385,1
156,13.668409,100.3846685,2
157,13.668597,100.505275,1
158,13.669403,100.505951,1
159,13.668999,100.428225,1
160,13.669818,100.509926,1
161,13.66998,100.420299,1
162,13.670623,100.4054585,2
163,13.67072,100.437653,1
164,13.673023,100.437854,1
165,13.670853,100.348136,1
166,13.671563,100.346986,1
167,13.671021,100.455591,1
168,13.671912,100.4562445,2
169,13.6712935,100.4704415,3
170,13.671144,100.444964,1
171,13.671291,100.492486,1
172,13.67138,100.40666,1
173,13.672194,100.4055605,2
174,13.671603,100.426666,1
175,13.671865,100.502907,1
176,13.671906,100.42515,1
177,13.672386,100.5087,1
178,13.672827,100.513473,1
179,13.6729665,100.424243,2
180,13.673529,100.42405,1
181,13.672976,100.421192,1
182,13.673647,100.420255,1
183,13.673002,100.465337,1
184,13.673105,100.518154,1
185,13.674063,100.517403,1
186,13.6732205,100.505518,2
187,13.673424,100.506336,1
188,13.673588,100.404203,1
189,13.673722,100.505788,1
190,13.673754,100.505783,1
191,13.674227,100.387839,1
192,13.675783,100.385117,1
193,13.674533,100.425307,1
194,13.674912,100.499682,1
195,13.674975,100.471089,1
196,13.677486,100.471132,1
197,13.675237,100.502531,1
198,13.6759365,100.4280015,2
199,13.678636,100.429201,1
200,13.676003,100.50122,3
201,13.676827,100.500637,1
202,13.67645,100.338424,1
203,13.677665,100.339528,1
204,13.676661,100.345323,1
205,13.676957,100.346856,1
206,13.67763,100.5028065,3
207,13.677496,100.484054,2
208,13.681755,100.482413,1
209,13.677437,100.465382,1
210,13.677677,100.412655,1
211,13.677685,100.498568,1
212,13.67773,100.498626,1
213,13.677724,100.432109,1
214,13.677998,100.498318,1
215,13.678293,100.406963,2
216,13.679816,100.406127,1
217,13.678277,100.498722,1
218,13.678699,100.424471,1
219,13.678735,100.514545,1
220,13.679211,100.513024,1
221,13.67914625,100.498799,3
222,13.67901,100.496271,1
223,13.679659,100.496512,1
224,13.679119,100.497435,1
225,13.679349,100.447497,1
226,13.682357,100.447969,1
227,13.6799655,100.468415,2
228,13.680238,100.371911,1
229,13.680324,100.503444,1
230,13.680736,100.353778,1
231,13.683842,100.352842,1
232,13.681407,100.4385025,3
233,13.682597,100.440241,1
234,13.681346,100.506037,4
235,13.681346,100.506037,16
236,13.681431,100.4929,1
237,13.6816455,100.4745475,2
238,13.681825,100.492051,1
239,13.682469,100.492594,1
240,13.681873,100.425209,1
241,13.682253,100.42628,1
242,13.681958,100.505568,2
243,13.682052,100.500008,1
244,13.6820935,100.5009785,2
245,13.68217,100.502296,1
246,13.682528,100.504727,1
247,13.682751,100.411422,1
248,13.683053,100.411784,1
249,13.682808,100.499034,1
250,13.683256,100.499056,1
251,13.682886,100.414898,1
252,13.6835655,100.416138,2
253,13.683019,100.487874,1
254,13.683026,100.412738,1
255,13.683184,100.495648,1
256,13.683259,100.4912165,2
257,13.68358,100.490708,1
258,13.683314,100.464217,1
259,13.683486,100.500117,1
